category,name,price,sweetness,tags
샌드위치,치아바타 잠봉 샌드위치,8500,1,#식사용,#든든한,#인기
샌드위치,베이글 잠봉 샌드위치,7500,1,#식사용
샌드위치,소금빵 잠봉 샌드위치,6500,1,#가벼운
샌드위치,치아바타 닭가슴살 샌드위치,8500,1,#식사용,#든든한
샌드위치,베이글 닭가슴살 샌드위치,7500,1,#식사용
샌드위치,소금빵 닭가슴살 샌드위치,6500,1,#가벼운
샐러드,수비드 닭가슴살 샐러드,11900,0,#식사용,#가벼운
샐러드,잠봉 샐러드,12900,1,#식사용,#든든한
디저트,옛날 팥빙수 1인,6000,5,#달콤한,#인기
디저트,옛날 팥빙수 2인,11000,5,#달콤한
빵,치즈 베이글,3500,1,#식사용
빵,올리브 베이글,3500,1,#식사용
빵,플레인 베이글,3200,1,#식사용
빵,버터 스콘,4000,2,#고소한
빵,초코 스콘,4200,3,#달콤한
빵,까눌레,3000,3,#달콤한,#인기
빵,에그타르트,4000,3,#달콤한
빵,크룽지(대),4500,2,#고소한
빵,크룽지(소),3000,2,#고소한
빵,소금빵,3200,1,#식사용,#인기
빵,초코소금빵,3800,3,#달콤한
빵,모카소금빵,3800,3,#달콤한
빵,앙버터소금빵,4700,3,#달콤한,#인기
빵,치즈올리브부메랑,2800,1,#고소한
빵,플레인 치아바타,4500,1,#식사용
빵,치즈 치아바타,4900,2,#고소한
빵,올리브 치아바타,4900,1,#고소한
빵,플레인 프레첼,3500,1,#식사용
빵,앙버터 프레첼,4500,3,#달콤한
빵,허니버터 프레첼,4500,3,#달콤한
커피,아메리카노,4000,0,#진한,#인기
커피,에스프레소,4000,0,#진한
라떼,카페라떼,5000,1,#고소한
라떼,루시단짠라떼,5500,2,#달콤한,#인기
라떼,바닐라라떼,5500,3,#달콤한
라떼,돌체라떼,5500,4,#달콤한
라떼,카라멜마끼아또,5500,3,#달콤한
라떼,헤이즐넛라떼,5500,3,#달콤한
라떼,비엔나라떼,5800,3,#달콤한
라떼,흑임자라떼,6000,2,#고소한
라떼,미숫가루라떼,6000,2,#고소한
라떼,리얼딸기라떼,6000,4,#달콤한
라떼,달고나라떼,6000,4,#달콤한
에이드,블루파인에이드,6000,4,#달콤한
에이드,그린 한라봉에이드,6000,4,#달콤한
에이드,자몽에이드,5800,3,#달콤한
에이드,레몬에이드,5800,3,#달콤한
에이드,패션후르츠에이드,6000,4,#달콤한
스무디,요거트플레인스무디,7000,3,#달콤한
스무디,딸기요거트스무디,7000,4,#달콤한
스무디,망고요거트스무디,7000,4,#달콤한
스무디,블루베리스무디,7000,4,#달콤한
티,방패차,5500,0,#가벼운
티,페퍼민트,5000,0,#가벼운
티,캐모마일,5000,0,#가벼운
티,얼그레이,5000,0,#가벼운
티,레몬차,5000,3,#달콤한
티,자몽차,5000,3,#달콤한
아이스티,복숭아아이스티,4500,3,#달콤한
아이스티,레몬아이스티,4500,3,#달콤한
